iter	Logloss
0	0.6048112581
1	0.5415775682
2	0.4928202282
3	0.4469397782
4	0.3974950412
5	0.3599860124
6	0.3264818697
7	0.2962965215
8	0.2716210217
9	0.2544874519
10	0.2361721938
11	0.2173562289
12	0.2025824885
13	0.1905667736
14	0.1789636751
15	0.1678029778
16	0.1599671277
17	0.1516493686
18	0.1449881145
19	0.1385939022
20	0.1316101224
21	0.127268611
22	0.1228356766
23	0.118990991
24	0.1157120639
25	0.1118217887
26	0.1078492677
27	0.1051116254
28	0.1027705475
29	0.1007001356
30	0.09925784207
31	0.09724384156
32	0.09558995207
33	0.09389218608
34	0.09113073567
35	0.08932921848
36	0.08834207596
37	0.08715403198
38	0.08622812426
39	0.08492274731
40	0.08391646656
41	0.08281385857
42	0.08175112247
43	0.08081769276
44	0.07901400258
45	0.07789975296
46	0.07698215107
47	0.0754642016
48	0.07382063794
49	0.07349979246
50	0.0723458568
51	0.07169684037
52	0.07132113974
53	0.07059934936
54	0.07005838479
55	0.06928680798
56	0.06882340321
57	0.06843281252
58	0.06729379093
59	0.06577358085
60	0.06554617658
61	0.06531176927
62	0.06416797506
63	0.06347799587
64	0.06297164934
65	0.0627950546
66	0.06159038019
67	0.06114460578
68	0.06016750219
69	0.05896749039
70	0.05815907418
71	0.05742649479
72	0.05637887666
73	0.05552518839
74	0.05522090317
75	0.05482199096
76	0.05397665031
77	0.05349687934
78	0.05294564498
79	0.05266414386
80	0.0524607159
81	0.05223533004
82	0.05165464177
83	0.05072285873
84	0.05013551539
85	0.04978388353
86	0.04918649265
87	0.04846032041
88	0.04824342572
89	0.04785377719
90	0.04724017151
91	0.04674553049
92	0.04650270492
93	0.04574110996
94	0.04529558458
95	0.04485673644
96	0.04466611941
97	0.04396968154
98	0.04389443479
99	0.04373832933
100	0.04350763426
101	0.04286062573
102	0.04264703719
103	0.04252415672
104	0.04195398916
105	0.04154509934
106	0.04103589268
107	0.04051434132
108	0.04032667687
109	0.0401824065
110	0.0400176946
111	0.03950911333
112	0.0389128027
113	0.0383794116
114	0.03803837116
115	0.03757270761
116	0.03695442619
117	0.03642826541
118	0.03591309364
119	0.03551023022
120	0.03498382055
121	0.03448380094
122	0.03407124686
123	0.0336404322
124	0.03320648619
125	0.03277306841
126	0.03266268051
127	0.03229625001
128	0.03187162628
129	0.03179022609
130	0.03141890873
131	0.03105209554
132	0.03070689611
133	0.03032002478
134	0.03004780529
135	0.0297292105
136	0.02962172199
137	0.02937392342
138	0.0292276874
139	0.0289083211
140	0.02884130758
141	0.0285181111
142	0.02844163655
143	0.02819630779
144	0.02805601091
145	0.0279955133
146	0.02792754352
147	0.02786983455
148	0.0276079014
149	0.02733773781
150	0.02707288976
151	0.02702480794
152	0.02663230533
153	0.02641313453
154	0.02619900979
155	0.0261374261
156	0.02585343292
157	0.02558493406
158	0.02522268629
159	0.02496399011
160	0.02463822342
161	0.0243725539
162	0.02427841776
163	0.02423901242
164	0.02419945842
165	0.02396213183
166	0.02392175653
167	0.0238736745
168	0.02364305072
169	0.02359760306
170	0.02342908769
171	0.02339660619
172	0.02311604679
173	0.02294775074
174	0.02269069232
175	0.02244638981
176	0.02241529569
177	0.02217486473
178	0.02214006192
179	0.02191299519
180	0.02188298919
181	0.02185438368
182	0.02172622349
183	0.02169756593
184	0.02167169793
185	0.02153406243
186	0.02150889803
187	0.02148610634
188	0.02125207292
189	0.0212291432
190	0.02100209756
191	0.02097910044
192	0.02076031937
193	0.0205544785
194	0.02053162669
195	0.02051012596
196	0.02048929674
197	0.02029378685
198	0.02027332987
199	0.02008826952
